panel_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,projected_area_m2,equivalent_cell_size_m
3117,6.715636375,23.721145929,-11.009426138,24.653448767,74.192779918,-0.248727273163,-0.878560960337,0.407756523623,0.612686207723,0.782742746835
3118,-20.978670036,-12.956965838,-11.000565431,24.657403760,211.700543968,0.776987779104,0.479887623621,0.407428349306,0.612686207723,0.782742746835
3119,24.225207478,-4.617565042,-10.991697582,24.661358119,349.208308018,-0.897229906591,0.171020927494,0.407099910438,0.612686207723,0.782742746835
3120,-14.746157424,19.771910620,-10.982822572,24.665311844,126.716072068,0.546153978685,-0.732292985920,0.406771206379,0.612686207723,0.782742746835
3121,-2.482774015,-24.544010789,-10.973940385,24.669264935,264.223836118,0.091954593156,0.909037436632,0.406442236486,0.612686207723,0.782742746835
3122,18.412910966,16.423530871,-10.965051003,24.673217393,41.731600168,-0.681959665395,-0.608278921149,0.406113000112,0.612686207723,0.782742746835
3123,-24.674994678,0.327594575,-10.956154408,24.677169217,179.239364218,0.913888691787,-0.012133132418,0.405783496610,0.612686207723,0.782742746835
3124,17.976163984,-16.911984894,-10.947250584,24.681120409,316.747128268,-0.665783851269,0.626369810900,0.405453725327,0.612686207723,0.782742746835
3125,-1.831475323,24.617035298,-10.938339511,24.685070969,94.254892318,0.067832419364,-0.911742048082,0.405123685610,0.612686207723,0.782742746835
3126,-15.280540204,-19.392081989,-10.929421174,24.689020896,231.762656368,0.565945933492,0.718225258857,0.404793376802,0.612686207723,0.782742746835
3127,24.370455670,3.977897350,-10.920495553,24.692970192,9.270420418,-0.902609469256,-0.147329531480,0.404462798244,0.612686207723,0.782742746835
3128,-20.660349885,13.530991967,-10.911562630,24.696918856,146.778184468,0.765198143878,-0.501147850621,0.404131949274,0.612686207723,0.782742746835
3129,6.095219492,-23.937024134,-10.902622389,24.700866888,284.285948518,-0.225748870067,0.886556449404,0.403800829227,0.612686207723,0.782742746835
3130,11.676668047,21.771156892,-10.893674811,24.704814290,61.793712568,-0.432469186931,-0.806339144164,0.403469437436,0.612686207723,0.782742746835
3131,-23.319941726,-8.167202158,-10.884719877,24.708761061,199.301476618,0.863701545411,0.302488968806,0.403137773231,0.612686207723,0.782742746835
