rank,case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,q_abs_max_W_m2,q_abs_mean_all_W_m2,surface_temperature_max_C,surface_temperature_mean_C,deltaT_air_max_C,deltaT_air_mean_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2
27,summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,237.05330025680263,148.93024911600926,45.23105745150144,39.74219539897796,13.231057451501442,7.742195398977956,8.241897575175445,-9.334731657944856,5.488862052523487,9.379164112033322e-13
28,winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,237.7649678703386,73.76100987124427,6.649375346711054,-1.9561217571252625,11.649375346711054,3.043878242874737,5.244814320350127,-3.880335147929967,8.605497103836315,1.1084466677857565e-12
29,winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,237.64375573299333,73.88937206676226,6.643042279989118,-1.9493732974649165,11.643042279989118,3.050626702535084,5.248913136794673,-3.887083607590313,8.592415577454034,1.1368683772161605e-12
30,winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,237.42999777423765,99.91224566694264,6.631873816700704,-0.5817908221251673,11.631873816700704,4.418209177874833,6.116474440152992,-5.254666082930061,7.213664638825872,1.1368683772161605e-12
31,spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,237.81145675266828,67.51494650799361,29.190101693830456,20.42751962898126,11.190101693830456,2.427519628981258,4.714569615557578,-3.484103071634422,8.762582064849198,1.1368683772161605e-12
32,spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,237.8088524421911,67.49548848360463,29.18996834213692,20.42651612462929,11.189968342136922,2.426516124629297,4.714395240234032,-3.4830995672824585,8.763452217507627,1.1368683772161605e-12
33,spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,237.1977021935532,128.87734005299205,29.15867439891849,23.590340446607303,11.158674398918492,5.590340446607304,6.588347180903805,-6.646923889260467,5.568333952311189,1.1368683772161605e-12
34,summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,237.8066590799308,65.20594304493108,42.79586877447355,34.03075266946656,10.795868774473549,2.030752669466559,4.340866573588176,-3.321575642135265,8.765116105006989,1.1652900866465645e-12
35,summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,237.8011684366671,65.37122004879599,42.79559140081528,34.039165047636224,10.795591400815283,2.039165047636224,4.346204102447113,-3.3299880203049312,8.756426353179059,1.1652900866465645e-12
36,summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,237.05330025680263,148.93024911600926,42.75781021813782,38.29038651124928,10.75781021813782,6.29038651124928,6.696220017357469,-7.581209483917988,4.467423706888539,1.1652900866465645e-12
