case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2,case_order,time_order,scenario_id,scenario_label
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,0.0,32.0,18.0,5.0,41683,237.8066590799308,65.20594304493108,110.55585281324312,28.33829602487356,37.56214620289702,61.392852658563584,43.977217494812194,-3.661703975126443,5.562146202897023,29.392852658563584,11.977217494812198,-9.22385017802346,23.830706455666565,4.547473508864641e-13,1,2,summer_solstice__evening,summer solstice / evening
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,41683,237.8066590799308,65.20594304493108,110.55585281324312,29.990514252964203,35.138696290076496,48.66426393514428,38.71919186995043,-2.0094857470357965,3.138696290076494,16.664263935144277,6.71919186995043,-5.148182037112292,13.52556764506778,7.673861546209082e-13,1,2,summer_solstice__evening,summer solstice / evening
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,41683,237.8066590799308,65.20594304493108,110.55585281324312,30.407463741033094,34.49879953610669,45.27773174181743,37.344271903718976,-1.592536258966902,2.4987995361066853,13.277731741817432,5.34427190371898,-4.09133579507359,10.778932205710746,9.379164112033322e-13,1,2,summer_solstice__evening,summer solstice / evening
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,41683,237.8066590799308,65.20594304493108,110.55585281324312,30.709177027331293,34.03075266946656,42.79586877447355,36.34086657358818,-1.2908229726687068,2.030752669466559,10.795868774473549,4.340866573588176,-3.321575642135265,8.765116105006989,1.1652900866465645e-12,1,2,summer_solstice__evening,summer solstice / evening
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,45095,237.7649678703386,73.76100987124427,115.59844440914615,-7.5192255767722145,3.90494297110615,28.72054271475497,10.384760758391495,-2.5192255767722145,8.904942971106149,33.72054271475497,15.384760758391495,-11.424168547878365,24.81559974364882,3.979039320256561e-13,2,0,winter_solstice__morning,winter solstice / morning
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,45095,237.7649678703386,73.76100987124427,115.59844440914615,-6.325765648139736,-0.2020061311069405,13.3251978155306,3.2714060193901178,-1.3257656481397362,4.79799386889306,18.3251978155306,8.271406019390117,-6.123759517032796,13.527203946637542,7.389644451905042e-13,2,0,winter_solstice__morning,winter solstice / morning
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,45095,237.7649678703386,73.76100987124427,115.59844440914615,-6.039765564474578,-1.2237802016007562,9.441534138487556,1.5078590846080615,-1.0397655644745782,3.776219798399244,14.441534138487556,6.507859084608062,-4.815985362873822,10.665314340088312,9.094947017729282e-13,2,0,winter_solstice__morning,winter solstice / morning
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,45095,237.7649678703386,73.76100987124427,115.59844440914615,-5.836456905055229,-1.9561217571252625,6.649375346711054,0.244814320350127,-0.8364569050552291,3.043878242874737,11.649375346711054,5.244814320350127,-3.880335147929967,8.605497103836315,1.1084466677857565e-12,2,0,winter_solstice__morning,winter solstice / morning
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,53411,237.42999777423765,99.91224566694264,132.20306936810468,-7.5192255767722145,7.918093223182559,28.671793756592933,12.907308873981446,-2.5192255767722145,12.91809322318256,33.67179375659293,17.907308873981446,-15.437318799954774,20.75370053341037,3.979039320256561e-13,2,1,winter_solstice__axis,winter solstice / axis
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,53411,237.42999777423765,99.91224566694264,132.20306936810468,-6.325765648139736,1.9635173210116788,13.297867557532411,4.642546034450702,-1.3257656481397362,6.963517321011678,18.297867557532413,9.642546034450705,-8.289282969151415,11.334350236520734,7.389644451905042e-13,2,1,winter_solstice__axis,winter solstice / axis
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,53411,237.42999777423765,99.91224566694264,132.20306936810468,-6.039765564474578,0.4809798595590678,9.419894779831791,2.588431648697425,-1.0397655644745782,5.480979859559069,14.419894779831791,7.5884316486974255,-6.520745424033646,8.938914920272726,9.094947017729282e-13,2,1,winter_solstice__axis,winter solstice / axis
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,53411,237.42999777423765,99.91224566694264,132.20306936810468,-5.836456905055229,-0.5817908221251673,6.631873816700704,1.1164744401529911,-0.8364569050552291,4.418209177874833,11.631873816700704,6.116474440152992,-5.254666082930061,7.213664638825872,1.1368683772161605e-12,2,1,winter_solstice__axis,winter solstice / axis
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,45143,237.64375573299333,73.88937206676226,115.67648565833656,-7.5192255767722145,3.924710322769261,28.702903180044014,10.396670172918652,-2.5192255767722145,8.924710322769261,33.70290318004402,15.396670172918652,-11.443935899541476,24.77819285727476,3.979039320256561e-13,2,2,winter_solstice__evening,winter solstice / evening
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,45143,237.64375573299333,73.88937206676226,115.67648565833656,-6.325765648139736,-0.1913663207069651,13.315308217796089,3.277858472269989,-1.3257656481397362,4.808633679293035,18.315308217796087,8.27785847226999,-6.134399327432771,13.506674538503052,7.389644451905042e-13,2,2,winter_solstice__evening,winter solstice / evening
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,45143,237.64375573299333,73.88937206676226,115.67648565833656,-6.039765564474578,-1.215407426741732,9.433703786245474,1.51294166960365,-1.0397655644745782,3.784592573258269,14.433703786245474,6.51294166960365,-4.824358137732847,10.649111212987206,9.094947017729282e-13,2,2,winter_solstice__evening,winter solstice / evening
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,45143,237.64375573299333,73.88937206676226,115.67648565833656,-5.836456905055229,-1.9493732974649165,6.643042279989118,0.2489131367946741,-0.8364569050552291,3.050626702535084,11.643042279989118,5.248913136794673,-3.887083607590313,8.592415577454034,1.1368683772161605e-12,2,2,winter_solstice__evening,winter solstice / evening
